"Centro Nacional de Control de Energia"
"Estadistica de la Energia Generada Liquidada Agregada (MWh) Intermitente y Firme por Tipo de Tecnologia"
"Sistema Electrico Nacional"
"Dias de Operacion del Mes de: julio 2019"
"Proceso de Liquidacion: Original (L0) "
"Archivo descargado desde el Sistema de Informacion del Mercado (Area Publica) creado el 14/ago/2019 05:00:01 hrs."
"Nota: Los acentos de este reporte se omiten intencionalmente por sistema."
"Sistema"," Dia"," Hora"," Eolica"," Fotovoltaica","  Biomasa"," Carboelectrica"," Ciclo Combinado"," Combustion Interna"," Geotermoelectrica"," Hidroelectrica"," Nucleoelectrica"," Termica Convencional"," Turbo Gas"
"SEN","12/07/2019","1","704.6541","0.0002","3.0366","3115.6374","21575.8319","367.9912","592.3576","5242.2746","1417.2989","5961.6589","2311.2537"
"SEN","12/07/2019","2","611.999","0.0002","3.0449","3112.5054","20902.5559","372.3109","592.1059","4626.5872","1440.0396","5886.2693","2302.7997"
"SEN","12/07/2019","3","413.0902","0.0002","3.0448","3112.056","20951.6318","371.77","592.9577","3763.6644","1457.5084","5813.5437","2256.5308"
"SEN","12/07/2019","4","393.7454","0.0002","3.0369","3117.2828","20795.9731","351.5042","593.9655","3146.5947","1476.5142","5809.1896","2137.2592"
"SEN","12/07/2019","5","357.6401","0.0002","3.0458","3125.8535","20852.5127","349.739","594.0652","2603.8845","1471.7301","5853.6535","2127.1287"
"SEN","12/07/2019","6","308.5524","0.0068","3.0459","3139.4626","20860.0104","352.47","594.3161","2620.8731","1460.6923","5816.8337","2096.6026"
"SEN","12/07/2019","7","340.8744","9.8075","3.0373","3130.9988","20663.9692","354.1831","594.7899","3115.8802","1449.1562","5875.6178","2086.4859"
"SEN","12/07/2019","8","429.325","76.822","3.0374","3125.8913","20827.2636","351.9323","593.3625","3230.39","1438.8003","5871.9194","2078.4074"
"SEN","12/07/2019","9","243.424","819.2269","3.0372","3220.3249","21551.7252","351.3328","590.4927","3438.4456","1427.6469","5912.501","2124.2036"
"SEN","12/07/2019","10","90.8819","2070.4363","2.9503","3421.5174","21716.1287","349.4848","593.5611","3613.8057","1419.0145","5897.0615","2228.5192"
"SEN","12/07/2019","11","115.7071","2532.5639","3.0357","3486.0741","21914.3859","350.2958","610.8036","3870.0938","1410.0011","6007.0798","2313.6475"
"SEN","12/07/2019","12","178.8538","2805.4853","3.0354","3630.1395","21989.1151","348.1026","598.4861","4051.462","1400.9204","6110.6996","2357.296"
"SEN","12/07/2019","13","317.999","2886.4125","3.0422","3645.1521","22163.8396","349.6183","608.2192","4232.1899","1392.2445","6115.1225","2422.589"
