"SEN","06/04/2019","16","1790.4825","2496.5817","0.965","2738.4109","19128.2995","386.3561","563.6048","3551.6723","1386.8752","3404.1391","1472.4163"
"SEN","06/04/2019","17","2021.4679","2291.4473","0.965","2567.5718","18979.2975","388.0594","565.3536","3310.5612","1385.5986","3613.4575","1484.6397"
"SEN","06/04/2019","18","1972.7627","1797.8967","2.5933","2538.6082","18990.0287","393.7035","567.2675","3610.275","1385.5059","3664.7751","1596.807"
"SEN","06/04/2019","19","1763.1233","780.5334","7.1688","2517.6989","19380.2332","392.7071","566.2278","4468.535","1386.9376","3945.5034","1638.6825"
"SEN","06/04/2019","20","1626.2409","59.1438","8.8815","2492.8257","19821.1574","396.9945","567.2594","5962.272","1388.8904","4677.8826","1703.5944"
"SEN","06/04/2019","21","1674.3235","0","10.3393","2533.9419","19832.1333","397.997","569.2388","6017.3951","1390.4952","4905.3977","1726.2885"
"SEN","06/04/2019","22","1778.9086","0","10.4563","2554.8275","20059.7019","400.3982","570.8098","4829.6744","1392.2264","4956.788","1711.8761"
"SEN","06/04/2019","23","1781.8034","0","10.359","2633.0984","20048.8446","396.4343","569.7632","3421.6883","1394.5204","4917.3525","1672.3943"
"SEN","06/04/2019","24","1614.2854","0","9.2682","2558.6237","20028.078","390.0445","573.689","2176.4844","1395.8271","4420.0665","1691.5776"
"SEN","07/04/2019","1","1640.2126","0","10.6575","2458.4053","19551.59","384.548","572.4835","1551.7758","1397.0332","3873.3322","1690.2168"
"SEN","07/04/2019","2","1700.4545","0","7.7067","2242.9658","19000.1467","377.3548","573.0974","1401.8065","1397.8556","3601.7835","1556.8295"
"SEN","07/04/2019","3","1683.9063","0","8.8264","1786.2278","18537.8092","373.8748","571.6573","1392.1895","1398.3652","3509.8992","1499.8689"
"SEN","07/04/2019","4","1700.4384","0","9.8352","1577.9056","18306.7947","371.4093","573.417","1479.1786","1398.9473","3400.3004","1489.6651"
"SEN","07/04/2019","5","1804.0732","0","9.2101","1508.1601","18129.4393","372.2946","573.32","1523.8705","1399.7347","3312.7088","1374.2585"
"SEN","07/04/2019","6","1606.5603","0.2166","10.4853","1542.695","18235.396","376.4911","572.2535","1581.5649","1399.6902","3274.5223","1328.6828"
"SEN","07/04/2019","7","1317.2223","48.7141","9.4331","1596.7554","18246.6542","374.9362","572.5631","1481.1926","1399.6123","3264.9297","1329.2488"
"SEN","07/04/2019","8","950.3753","992.424","9.6109","1509.029","18199.0892","375.1498","572.4778","1159.8644","1333.4213","3256.3467","1307.4562"
"SEN","07/04/2019","9","1549.7501","2141.0768","10.3288","1506.7523","17286.3363","372.1672","570.9399","1324.6192","1108.9815","3092.6117","1421.7484"
"SEN","07/04/2019","10","1572.1447","2086.3945","9.8103","1513.9693","16464.7155","376.3009","567.3815","2722.0133","1089.2948","3146.5055","1419.3113"
"SEN","07/04/2019","11","1324.5763","2116.6117","9.8232","1583.7477","17385.856","379.9345","566.3397","2351.4664","1088.4531","3232.1316","1404.5192"
"SEN","07/04/2019","12","1407.4519","2137.8144","12.4794","1585.9237","17657.0303","378.5633","566.772","2458.0623","1092.0432","3279.7179","1389.6284"
"SEN","07/04/2019","13","1638.7626","2148.8907","9.9199","1936.6164","17740.1567","378.8302","566.921","2364.1176","1089.0774","3157.2806","1384.1385"
"SEN","07/04/2019","14","1641.5077","2145.8074","10.363","2081.0169","17764.3695","379.3591","567.2809","2174.983","1088.9038","3192.8899","1458.8434"
"SEN","07/04/2019","15","1595.4353","2104.3832","13.1332","2042.6643","18007.8336","378.8748","566.5089","2170.1625","1095.3687","3215.6292","1450.4567"
"SEN","07/04/2019","16","1648.547","2069.4171","12.4292","1975.1924","18270.5435","374.7289","565.3895","2147.7382","1099.8433","3287.4175","1453.3753"
"SEN","07/04/2019","17","1744.8038","1962.2462","11.5358","1913.6675","18399.9818","385.0302","565.5273","1855.9527","1097.9755","3443.9596","1458.2964"
"SEN","07/04/2019","18","1409.1269","1557.5628","10.4182","1971.907","18591.574","393.8616","563.0029","1999.6679","1095.2017","3704.0794","1501.6901"
"SEN","07/04/2019","19","1064.2741","447.864","10.2595","2043.7958","19237.8106","389.2485","563.3349","2699.9056","1122.9861","4339.7349","1663.2534"
"SEN","07/04/2019","20","935.2927","3.9745","11.5399","2322.7141","19767.3196","395.9626","566.587","5266.9865","1153.1313","4474.6013","1738.9069"
"SEN","07/04/2019","21","972.0628","0.0419","12.2528","2593.3466","19746.9225","396.9061","567.6297","5640.8151","1225.3845","4531.59","1729.238"
"SEN","07/04/2019","22","915.2244","0.025","13.3442","2583.8878","19663.5582","388.6992","569.1041","4951.7413","1338.9849","4574.4167","1728.2189"
"SEN","07/04/2019","23","889.6751","0","12.1578","2592.7833","19544.5446","387.9274","570.8891","3271.3753","1369.9899","4547.523","1725.3816"
"SEN","07/04/2019","24","0.0004","0","0","0","878.745","0","352.9173","0","0","80","0"
"SEN","08/04/2019","1","874.6177","0.025","7.8053","2592.2717","19241.6799","380.1509","578.2413","1434.944","1384.2721","4443.796","1697.0798"
"SEN","08/04/2019","2","722.8259","0.025","7.6653","2464.5407","19252.0657","369.9065","578.4076","1016.6582","1396.6785","3874.1897","1662.9911"
"SEN","08/04/2019","3","494.8135","0.025","12.7723","2348.6988","18813.0673","376.5977","578.765","1122.9177","1410.1892","3875.3275","1651.4827"
"SEN","08/04/2019","4","398.4055","0.0067","15.3645","2404.3041","18829.8643","370.5225","579.5866","915.1681","1421.6984","3794.671","1577.4758"
"SEN","08/04/2019","5","371.5317","0","12.8191","2400.7639","18840.5859","371.9662","578.9353","833.5248","1426.4672","3674.5844","1531.1176"
"SEN","08/04/2019","6","324.4784","0","11.5929","2398.8231","19237.0691","377.3753","580.2272","1092.5685","1426.2236","3899.3323","1493.0188"
"SEN","08/04/2019","7","276.3189","10.9715","11.3937","2394.682","19524.6012","377.0797","580.1144","1661.6622","1425.15","4636.8899","1527.0661"
"SEN","08/04/2019","8","211.3758","68.9802","10.2812","2392.6149","19614.9958","376.1968","575.9599","3325.2044","1423.464","4666.0104","1532.519"
"SEN","08/04/2019","9","154.5704","880.6298","9.9122","2391.1922","19608.7937","375.1155","573.5715","3524.3398","1423.0865","4624.5244","1559.7395"
"SEN","08/04/2019","10","196.8725","2055.2975","9.4296","2535.0296","19321.4908","372.0519","568.852","3565.5997","1421.336","4663.9464","1642.7465"
"SEN","08/04/2019","11","202.2621","2493.3921","8.893","2562.5922","19350.9332","373.7253","565.3775","3829.8686","1418.6074","4631.7263","1704.1098"
"SEN","08/04/2019","12","153.2659","2538.7066","9.8304","2602.9783","19564.5505","380.3831","564.9787","4614.6639","1415.3452","4678.7574","1772.3794"
"SEN","08/04/2019","13","112.5005","2530.5411","10.6205","2605.7045","19593.2449","384.4776","566.8807","5073.5839","1412.2808","4750.2907","1752.5301"
"SEN","08/04/2019","14","192.826","2514.8559","10.8056","2746.2854","19517.3857","387.226","567.2362","5363.0757","1415.0915","4718.7036","1750.8719"
"SEN","08/04/2019","15","535.7617","2439.0977","10.0798","2802.4374","19441.4689","384.2859","567.6371","5377.6603","1422.1218","4713.2034","1752.0884"
"SEN","08/04/2019","16","920.0603","2329.8568","9.9269","2618.8417","19432.7262","385.2952","566.1808","5577.4554","1421.4475","4773.4634","1753.3975"
"SEN","08/04/2019","17","1019.7108","2208.5307","9.9938","2701.009","19584.9536","384.1751","567.1019","5670.3631","1419.9091","4701.2844","1780.6222"
"SEN","08/04/2019","18","1058.1254","2001.8517","10.2259","2692.3658","19681.56","387.809","568.3296","5329.2364","1418.009","4689.0494","1817.9708"
"SEN","08/04/2019","19","1042.4816","1509.8673","12.5245","2620.5766","19896.452","396.2973","570.1911","4641.7167","1415.5696","4774.327","1805.0705"
"SEN","08/04/2019","20","1005.9544","522.8966","16.5175","2571.7295","19988.966","402.5281","571.0204","5567.2294","1414.0619","4812.9383","1805.9742"
"SEN","08/04/2019","21","1119.6806","28.6027","16.1179","2553.4494","20322.4785","408.9607","570.8628","6999.5912","1411.6719","4883.2875","1836.2194"
"SEN","08/04/2019","22","2069.3098","0.1367","15.1009","2611.3283","20114.24","408.3419","568.018","6247.331","1410.3444","4927.5236","1827.9912"
"SEN","08/04/2019","23","2736.235","0","14.826","2676.9155","20221.5138","407.3519","569.0524","4533.2911","1408.5886","4927.7388","1755.4273"
"SEN","08/04/2019","24","3054.7412","0","15.3119","2715.1865","19801.9181","402.707","570.8142","2964.9048","1407.0237","4753.1566","1742.1809"
"SEN","09/04/2019","1","3091.5643","0","15.7188","2722.551","19623.3417","394.5183","571.1074","1367.2845","1405.9424","4249.1168","1745.5128"
"SEN","09/04/2019","2","2901.7233","0","14.2773","2631.7834","19432.6717","397.3834","570.9145","1284.568","1404.5789","3571.6115","1731.3714"
"SEN","09/04/2019","3","2649.8176","0","13.1943","2282.8134","19083.7225","391.3049","571.2345","1359.8051","1395.3336","3570.202","1747.9344"
"SEN","09/04/2019","4","2622.9909","0","14.9123","2224.1507","18915.2231","386.205","572.2334","1041.662","1349.132","3546.4571","1766.765"
"SEN","09/04/2019","5","2487.7584","0","11.5398","2163.4929","19034.12","381.1517","572.9729","1015.5263","1371.3197","3575.1941","1746.8962"
"SEN","09/04/2019","6","2416.1844","0","10.221","2298.0368","19472.0353","376.4329","572.8558","1013.9464","1397.7063","3599.813","1698.2895"
"SEN","09/04/2019","7","2191.6927","11.958","12.0563","2663.3955","19675.6622","391.837","572.2044","1550.8913","1411.7559","4029.4477","1699.9244"
"SEN","09/04/2019","8","2220.4827","74.2498","14.6035","2840.1747","19574.5064","393.4327","571.0741","2335.2957","1062.266","4505.5353","1735.908"
"SEN","09/04/2019","9","2436.9179","1007.1786","16.9997","2970.4088","19601.041","394.0381","567.9803","2100.8618","777.0839","4583.8167","1776.4274"
"SEN","09/04/2019","10","2161.1171","2205.9276","21.3232","2941.8097","19617.7178","382.0918","562.3661","1957.7043","782.4243","4607.3904","1746.7795"
"SEN","09/04/2019","11","1827.0055","2593.566","21.5378","2861.1896","19465.2318","377.81","563.4499","2907.8987","781.5209","4625.3504","1741.1203"
"SEN","09/04/2019","12","1675.501","2616.875","22.592","2799.9433","19559.4232","381.7605","562.2181","3613.2111","779.568","4683.1619","1733.231"
"SEN","09/04/2019","13","1984.9192","2026.4022","16.8644","2803.7927","19518.9824","382.176","564.267","4507.2234","779.789","4602.1944","1735.8498"
"SEN","09/04/2019","14","2283.1552","2039.9762","11.2228","2811.8654","19438.3829","383.1026","563.641","4539.9845","778.7042","4544.0895","1729.8881"
"SEN","09/04/2019","15","2393.4104","2045.1662","18.2615","2886.0655","19326.2929","385.7436","561.654","4738.0764","777.8142","4553.5914","1721.9112"
"SEN","09/04/2019","16","2347.6774","2002.959","18.2515","2930.8452","19288.0263","379.9411","557.9342","5148.4686","776.3873","4675.5439","1719.8742"
"SEN","09/04/2019","17","2305.9108","1933.1645","19.6725","2969.1446","19379.8188","377.881","558.0488","5150.6804","776.3166","4791.7269","1718.1586"
"SEN","09/04/2019","18","2249.3099","1948.499","23.3921","2999.0117","19468.0276","382.02","561.6781","4771.351","775.9694","4739.6745","1718.796"
"SEN","09/04/2019","19","2370.961","1570.3327","22.6972","2943.8458","19497.6303","388.4836","563.9927","4122.9909","775.9503","4758.9178","1696.3145"
"SEN","09/04/2019","20","2329.1086","615.3352","22.946","2907.3843","19794.7055","387.6992","564.6608","4647.5092","776.7506","4774.584","1771.0556"
"SEN","09/04/2019","21","2372.8455","55.3339","16.6543","2778.9362","20194.4133","394.6889","563.5741","6328.6986","776.5549","4848.6553","1848.9918"
