"SEN","11/11/2019","3","2912.2069","0","2.8162","1372.0586","15735.6642","370.6499","506.0585","898.7403","1549.3088","3243.4361","1186.4206"
"SEN","11/11/2019","4","2761.6065","0","2.8162","1321.847","15530.9862","371.7461","506.2551","1015.5171","1549.3627","3262.1588","1181.5697"
"SEN","11/11/2019","5","2674.1595","0","2.8162","1283.0027","15978.0661","370.0449","504.1191","848.316","1549.0115","3248.3358","1177.0278"
"SEN","11/11/2019","6","2577.723","0","2.8162","1314.9241","17184.0524","369.497","504.733","851.7152","1549.1317","3305.7532","1182.8894"
"SEN","11/11/2019","7","2439.9956","4.9472","2.8161","1318.0842","19018.9819","369.3858","505.0085","927.7624","1548.1039","3423.3284","1188.9257"
"SEN","11/11/2019","8","2268.7663","307.8095","2.8163","1449.0454","19964.9238","365.9128","503.2194","958.5439","1549.1253","3807.928","1204.4839"
"SEN","11/11/2019","9","2121.5892","1501.8581","2.8112","1590.4888","19682.6371","363.1171","501.5064","944.6295","1549.1984","4321.9253","1471.5411"
"SEN","11/11/2019","10","2213.8694","2133.0921","2.0723","1593.4931","19988.8857","362.6754","497.9284","1365.1787","1548.4245","4331.346","1509.4461"
"SEN","11/11/2019","11","2264.4964","2459.2271","2.0462","1617.6561","20384.0434","362.7669","498.1557","1573.0606","1547.8118","4338.3739","1544.7366"
"SEN","11/11/2019","12","2151.4293","2551.8068","2.0476","1616.4704","20260.4845","363.8018","501.5981","2214.1787","1547.0851","4416.0566","1582.4848"
"SEN","11/11/2019","13","2024.5767","2485.4375","2.049","1667.3343","20318.8067","362.9999","500.1613","2339.1634","1546.0636","4774.3621","1614.0144"
"SEN","11/11/2019","14","2024.9689","2518.4456","2.0504","1678.8176","20056.614","361.6966","500.0182","2266.7247","1544.4711","4869.6201","1913.9681"
"SEN","11/11/2019","15","2047.3569","2265.4286","2.0519","1683.1597","20067.7903","363.8974","500.1041","2404.1061","1542.6924","4943.2344","2014.3692"
"SEN","11/11/2019","16","2067.3634","1834.2247","2.0533","1693.1495","20307.7547","363.1326","500.0121","2780.7456","1539.5622","5023.2502","2043.1108"
"SEN","11/11/2019","17","2027.7379","1315.1641","2.048","1676.9656","20475.266","362.321","503.046","2895.826","1536.0712","5132.0141","2054.3186"
"SEN","11/11/2019","18","1937.9268","436.3517","2.0062","1703.8918","20714.1905","364.0919","504.3745","3760.2709","1533.064","5150.6206","2095.8723"
"SEN","11/11/2019","19","2025.9973","16.2686","2.8489","1685.523","21262.8569","366.1378","506.0114","4376.6014","1533.3358","5169.2976","2127.0796"
"SEN","11/11/2019","20","1870.6361","0.1154","2.8894","1581.4485","21232.5246","365.077","506.9702","4570.8328","1535.4007","5205.4507","2137.8026"
"SEN","11/11/2019","21","1838.6461","0.064","2.8213","1583.4562","21153.8001","364.8015","507.1628","4166.6494","1536.5221","5179.5571","2096.7054"
"SEN","11/11/2019","22","2154.4293","0.0639","2.8212","1575.6173","20922.7208","367.1482","506.9993","3235.4572","1539.1415","4958.519","1873.3887"
"SEN","11/11/2019","23","2757.725","0.0639","2.8211","1338.9369","20176.7016","364.0648","508.1328","2766.9012","1540.1419","4158.5158","1773.4547"
"SEN","11/11/2019","24","2782.1648","0.0639","2.8211","1138.8834","19456.2632","365.7193","507.9824","2344.3882","1541.2482","3943.7238","1648.2366"
"SEN","12/11/2019","1","2748.0327","0.0639","2.7924","1302.7279","19067.2977","310.4667","515.7405","1648.7347","1540.4218","3906.8106","1284.0345"
"SEN","12/11/2019","2","2874.7704","0.0324","2.7892","1296.9571","18501.7407","305.2776","515.6267","1100.1176","1538.0655","3895.6382","1238.5169"
"SEN","12/11/2019","3","2984.9691","0","2.7892","1299.0002","17757.2668","303.8661","517.3311","901.6503","1537.3603","3789.3276","1264.2771"
"SEN","12/11/2019","4","3096.3888","0","2.7893","1302.5902","17318.8546","306.8297","517.9248","978.0681","1539.7837","3752.1203","1313.1257"
"SEN","12/11/2019","5","3121.5452","0","2.7831","1295.7157","17302.6353","304.6635","518.2863","901.074","1541.9008","3763.56","1319.7927"
"SEN","12/11/2019","6","2997.1297","0","2.7701","1296.36","18202.1664","306.8531","518.3254","1069.023","1542.8192","3880.2252","1311.4359"
"SEN","12/11/2019","7","3003.0277","5.3628","2.7602","1289.731","19831.2187","307.0469","518.0882","1043.1338","1543.9968","3912.9022","1154.3808"
"SEN","12/11/2019","8","3203.3175","209.391","2.5029","1269.8608","20433.6147","305.7378","517.3496","1068.6366","1544.0905","4176.143","1141.6518"
"SEN","12/11/2019","9","3461.5259","905.3395","2.0377","1395.2388","20405.4913","302.0133","510.5691","1172.4741","1544.2588","4417.819","1235.8471"
"SEN","12/11/2019","10","3611.8334","1546.1355","2.026","1559.9923","20355.3353","300.008","506.9601","1197.0562","1545.7073","4748.6963","1196.9926"
"SEN","12/11/2019","11","3608.4899","1881.6421","2.026","1633.9555","20739.8158","301.0129","511.5438","1228.5569","1546.7178","4659.3963","1189.6559"
"SEN","12/11/2019","12","3687.0681","1907.2225","2.1726","1669.9773","20808.9609","292.1955","509.9165","1597.1747","1547.1912","4464.5729","1168.8596"
"SEN","12/11/2019","13","3742.635","1852.9602","2.9166","1659.9517","20926.9809","291.3934","509.3145","1695.1909","1547.817","4509.2005","1187.9077"
"SEN","12/11/2019","14","3710.1672","1747.8626","2.9166","1665.6524","21000.3321","294.1367","508.6948","1846.0918","1548.4359","4450.5498","1167.6719"
"SEN","12/11/2019","15","3802.261","1700.2712","2.9166","1659.4884","21103.5172","300.0433","508.2282","1920.8741","1549.0928","4380.0377","1110.5494"
"SEN","12/11/2019","16","3572.3558","1593.4818","2.9166","1553.5741","21282.9064","301.8697","509.1344","1997.9061","1551.1899","4513.0634","1120.64"
"SEN","12/11/2019","17","3719.7111","1049.8245","2.9152","1611.439","21350.8419","299.73","512.6587","1880.5415","1553.095","4947.7623","1178.6302"
"SEN","12/11/2019","18","3948.3515","312.5446","2.9066","1593.3643","21442.4831","322.8559","513.887","2267.2678","1554.6222","5106.6758","1440.316"
"SEN","12/11/2019","19","3736.4045","14.3769","2.9066","1282.4965","21087.8307","381.2484","514.4773","3582.9008","1557.6908","5099.7166","1805.3168"
"SEN","12/11/2019","20","3446.3182","0.0522","2.9066","1167.9109","21183.2322","382.5852","515.707","3810.4529","1557.9525","5147.4414","1778.3145"
"SEN","12/11/2019","21","2893.8901","0.012","2.9065","1251.8051","20983.7693","383.5593","515.8266","4083.7475","1557.6417","5167.1194","1538.2622"
