"Centro Nacional de Control de Energia"
"Estadistica de la Energia Generada Liquidada Agregada (MWh) Intermitente y Firme por Tipo de Tecnologia"
"Sistema Electrico Nacional"
"Dias de Operacion del Mes de: febrero 2019"
"Proceso de Liquidacion: Original (L0) "
"Archivo descargado desde el Sistema de Informacion del Mercado (Area Publica) creado el 08/abr/2019 18:10:22 hrs."
"Nota: Los acentos de este reporte se omiten intencionalmente por sistema."
"Sistema"," Dia"," Hora"," Eolica"," Fotovoltaica","  Biomasa"," Carboelectrica"," Ciclo Combinado"," Combustion Interna"," Geotermoelectrica"," Hidroelectrica"," Nucleoelectrica"," Termica Convencional"," Turbo Gas"
"SEN","20/02/2019","10","1694.8384","1936.2063","18.7199","3206.9115","17204.4808","368.74","620.2148","2813.1862","752.4787","5047.9505","1870.8568"
"SEN","20/02/2019","11","1708.779","2091.7213","17.9441","3262.6281","17275.2626","363.1454","604.1936","3079.1225","752.5097","5105.4821","1792.2118"
"SEN","20/02/2019","12","1657.481","2146.7405","22.5997","3327.254","17300.9107","350.6482","577.2197","3693.3937","752.1942","5114.3391","1788.4769"
"SEN","20/02/2019","13","1762.6355","2118.3439","21.3257","3423.449","17269.5784","362.0351","550.8235","3794.7957","751.9921","5136.5469","1813.2736"
"SEN","20/02/2019","14","1822.8153","2130.5876","24.434","3447.4693","17115.0625","372.7464","573.3477","3661.584","751.1266","4986.7145","1811.8737"
"SEN","20/02/2019","15","1799.9626","2098.9702","24.3805","3471.6697","17431.6307","375.4481","608.703","3338.7914","750.7164","5021.5426","1836.6106"
"SEN","20/02/2019","16","1716.4253","1979.3121","20.7658","3489.3701","17564.9194","380.5287","610.0877","3512.5563","750.6443","5012.3208","1838.5875"
"SEN","20/02/2019","17","1693.3337","1786.0316","10.4948","3475.3062","17606.1235","379.0307","611.0397","3595.1547","750.5","4983.6157","1849.9193"
"SEN","20/02/2019","18","1471.5986","1222.291","13.8601","3471.0912","17406.0548","376.3205","612.6588","4075.2971","750.5118","5173.2574","1800.4086"
"SEN","20/02/2019","19","1210.3202","226.005","23.2863","3472.3918","17601.1287","381.7262","613.7692","5496.5294","750.6669","5217.0062","1816.7714"
"SEN","20/02/2019","20","1019.8275","1.3174","20.6253","3491.3734","18003.5887","388.8128","634.2653","6799.4499","750.6009","5351.8526","1928.0538"
"SEN","20/02/2019","21","998.8783","0","20.2795","3483.008","18183.0239","392.5606","637.0187","6334.4634","751.2544","5276.6458","1945.1894"
"SEN","20/02/2019","22","967.1721","0","23.5312","3488.5124","17964.1802","386.5535","637.9828","5193.9214","751.0263","5345.7272","2126.9021"
